120T	90T	82T	115T	119T	24T	39T	66T	87T	47T	31T	103T	113T	88T	10T	9T	101T	65T	5T	75T	18T	92T	71T	85T	73T	99T	45T	124T	40T	17T	2T	58T	29T	38T	97T	11T	93T	111T	56T	96T	32T	77T	78T	19T	12T	81T	20T	79T	27T	68T	13T	6T	86T	25T	48T	102T	108T	112T	36T	41T	117T	14T	60T	105T	106T	30T	49T	28T	83T	114T	122T	110T	1T	51T	52T	34T	54T	7T	107T	16T	15T	80T	23T	59T	95T	123T	94T	55T	121T	35T	118T	72T	63T	100T	104T	64T	50T	74T	22T	43T	98T	109T	69T	89T	70T	3T	67T	57T	37T	62T	26T	91T	21T	33T	42T	44T	53T	76T	8T	116T	84T	4T	46T	61T
IR7_score	0.334289702233251	0.137484491315136	0.451845533498759	0.224953473945409	0.26791253101737	-0.413383995037221	-0.179668114143921	-0.129419975186104	0.020704094292804	-0.384382754342432	-0.469990694789082	-0.315369106699752	-0.0245812655086849	0.47557382133995	0.272410049627792	-0.0183777915632754	0.237980769230769	0.000852977667493765	0.420673076923077	0.321727667493797	0.443315756823821	0.331343052109181	0.497285980148883	0.496665632754342	0.457273573200993	-0.36329094292804	0.0590105459057072	0.23177729528536	0.189748759305211	0.148340570719603	0.448743796526055	-0.368098635235732	-0.247441066997519	-0.253954714640199	-0.38345223325062	0.00798697270471464	-0.099022952853598	-0.0242710918114145	-0.0925093052109181	-0.270704094292804	-0.471851736972705	-0.296603598014888	0.295828163771712	-0.417881513647643	-0.184165632754343	0.493098635235732	0.471386476426799	0.49837158808933	0.483948511166253	0.49511476426799	0.459599875930521	0.491392679900744	0.481622208436725	0.435716501240695	0.304513027295285	0.387329404466501	0.470921215880893	0.460375310173697	0.148960918114144	0.0231854838709677	0.499147022332506	0.412918734491315	0.458514267990074	0.493408808933002	0.369029156327543	-0.352900124069479	-0.236274813895782	0.299550248138958	0.456653225806452	0.472782258064516	0.410282258064516	0.477279776674938	0.489686724565757	-0.451845533498759	-0.394308312655087	0.390276054590571	-0.40950682382134	0.0492400744416873	0.197503101736973	0.278303349875931	-0.388570099255583	0.483017990074442	-0.471541563275434	-0.349643300248139	0.104606079404467	0.0492400744416873	-0.21843982630273	-0.388259925558313	0.377714019851117	-0.1100341191067	0.463632133995037	0.335685483870968	-0.0317152605459057	-0.055598635235732	0.0276830024813896	-0.382211538461538	-0.346386476426799	0.243408808933002	0.307459677419355	-0.298309553349876	0.459289702233251	-0.378954714640199	-0.372285980148883	-0.454326923076923	-0.240462158808933	-0.102434863523573	0.107552729528536	-0.371665632754342	-0.433545285359802	-0.195331885856079	-0.425015508684864	-0.347161910669975	-0.166795905707196	-0.458204094292804	-0.411988213399504	-0.450759925558313	-0.492478287841191	-0.460220223325062	-0.258607320099256	0.333514267990074	0.411522952853598	0.157490694789082	-0.334134615384615	0.0324906947890819
Buck14_score	-0.0690508609418512	-0.0581539857855261	-0.0765196940302118	-0.0753477358840088	-0.100583176062785	0.193913647344385	0.12982132934971	-0.00360234275560348	-0.0153557928445152	-0.0145934747950585	0.089787561221024	0.140304437713742	0.143962579653307	0.0707997510497783	-0.0853276201921587	-0.231312855391966	0.155484478691157	0.0219423337260066	-0.0138190743668361	0.00998333263783608	-0.00250659139645637	-0.0393720837026493	-0.0571531317705537	0.219439166176238	0.0671474270790109	0.172677547771848	-0.0345289959413832	-0.251418131954071	0.0485852204572183	0.0337254351147868	-0.0518077671064778	-0.0594196321774835	0.0133518307770676	0.0279898908862913	0.22094970797727	-0.265069274019146	0.060268516374644	0.0611384983569441	-0.162609735434175	0.19910010285295	0.276691768680228	0.229814369958041	0.228120369081791	0.159658874910078	0.179718555983849	0.134792605355731	-0.137670302730941	0.119490467740971	-0.108138782256565	-0.195518539539128	0.100355300275187	0.0995774617016734	0.245542131376265	0.0243160273852917	0.233097486459009	0.139966394791788	0.0828487663974662	-0.0802146090638607	0.0213985775559777	-0.0280955942724525	0.066960559847145	0.264189971473379	0.156187505674277	-0.137868812743772	-0.154767897503279	0.0597643917589544	0.0832484805343722	0.0239193523880194	-0.0532067321766152	0.145281239300383	-0.0361690525440691	0.111698405415171	0.188648987327687	-0.051430472849195	0.142910119048803	-0.0320666608469391	-0.00407539539010891	-0.107884710482508	-0.246717282596031	0.0327851455156209	0.245646556092147	0.0943170267307318	-0.188430957741228	0.0538392068763904	0.145125413303952	-0.144561950991144	0.0148585213847972	0.0846433065898754	-0.18388410573593	0.0893539981367305	-0.0442760467587037	-0.00202423404371456	0.014833291705043	-0.140979571714925	-0.14463206807698	-0.0461981754768381	-0.123897884009413	0.00532225816092085	-0.145878896121052	0.0667979619464852	0.0819974119015011	-0.138339073884395	-0.0762172657205786	-0.0147953542940214	0.105258358097282	-0.161158487778845	-0.0682156324526957	-0.275697450155774	-0.11644651242118	-0.024970715211961	-0.0640284441040236	-0.056226477005361	0.043671598549463	0.127496243692879	0.0407465017155903	0.017360939454547	-0.124728271999211	-0.0588761661042491	-0.321445587691862	-0.0696601689111378	-0.0998218630979335	-0.113155184740126	-0.0336403111650445	0.0698755379203844
ICS5_score	0.101536363469212	-0.0620983180572828	0.14274699334282	-0.00422348332350339	0.0211978069177179	-0.438386022286867	-0.284362210489146	-0.195873609272736	-0.148097810432934	-0.42239785493585	-0.466644640091308	-0.370302012291561	-0.152717951483644	0.200398015369041	0.0253015828755906	-0.167211671845791	0.0370907653176506	-0.136425545093841	0.148168492162541	0.0780569765369788	0.157572116948963	0.0721614015560077	0.305833232510807	0.480139019104706	0.219236157161959	-0.396532429660777	-0.122215875121717	-0.00549454514775274	-0.029652139951857	-0.00618554523285705	0.138953564328309	-0.332526849535816	-0.329885168427816	-0.331880410152833	-0.421703732021295	-0.155668306486671	-0.194765150044162	-0.17700076957163	-0.225275459173396	0.0107981589286954	0.0644737286460694	0.162540779560814	0.340584550688669	-0.0470680690967137	0.19704062374529	0.403988716242299	0.316095040466814	0.30262365539918	0.16264060376995	0.196758978574972	0.147267144009122	0.492865305668278	0.485811550607512	0.130450713763062	0.086496037359326	0.160932007180038	0.325912034275137	0.149022015895675	-0.0385546633714269	-0.147458007403269	0.176280478386428	0.223753577508239	0.15067176577675	0.214930788071976	0.094603098950292	-0.269109455782081	-0.320140004122705	0.377575420662975	0.153904328902674	0.471537542875673	0.395825003311863	0.443310116519374	0.484263854847166	-0.222220310300695	-0.146595138441313	0.206365666915313	-0.156315260730388	-0.0412002682606526	-0.0120197856972893	0.0354932527068446	0.159968142811893	0.491486818972495	-0.480844972851655	-0.396668223383073	-0.0839577530202034	0.0231357187284166	-0.21761997701881	0.172854796705941	0.201534485390675	-0.186127128309362	0.189524530681797	0.0853804931002171	-0.0857216163064606	-0.172501288499709	-0.0952075615879209	-0.417115820859073	-0.394423306806251	0.055656376131253	0.126021972829312	-0.360900947005696	0.17913542753733	-0.41389051868977	-0.408091264649343	-0.436172382013135	-0.317571966221418	-0.232037589076752	-0.0691829343272545	-0.413031967999936	-0.455406223914204	-0.28682790612338	-0.445823130759982	-0.360385804695183	-0.275332365410775	-0.437235348443948	-0.440535814934242	-0.434978387726448	-0.490015756786889	-0.450884972508883	-0.332605618780124	0.0647882330750607	0.129390669034175	0.000699504087092504	-0.361442064836505	-0.134212374425096
LIexpression_score	-0.164449857256486	0.157414793874521	0.292495910128439	0.220669699144579	0.317792307050438	-0.0742326197469827	-0.0994060896140376	0.0124108580207776	-0.109536015462987	-0.271039420925277	-0.0807359049189616	0.0742710319554573	-0.0377693114538593	-0.0938506721998827	-0.0754214560449305	0.0826625930690594	-0.000242850785166631	-0.235556134235384	-0.423101981309082	-0.203604705409466	-0.222362770078623	0.25741938355008	-0.404742357619607	-0.0752309568020787	-0.0856282365579928	-0.0593755144873208	-0.162051412108787	-0.000477400810548894	0.122826584100664	0.18248672276972	-0.174174603993485	-0.214687846877436	0.196753876198354	0.136800984328134	0.151690525976543	0.0395492127476211	0.0863492167078532	0.187843026836417	0.291195719155051	0.315473241507365	0.396613431387534	0.196921792122764	0.350171402457901	0.175196363967796	0.340860120057611	0.142665855304345	0.203337571552356	0.348199616998667	0.1682855622608	0.409626016277585	0.236220617612067	0.162435078273205	0.205696259970177	0.162384930041353	-0.0514409518508736	0.14926947307782	0.274456459030589	0.102165625756125	0.171904582729166	0.192061370261513	-0.0936650399632518	0.0101466250735855	0.214916074964058	0.117254768614003	0.120676165853999	-0.000686326178934127	-0.138812333606171	0.298257880141259	0.428978418364882	0.237825483211984	0.274519947218644	0.339233836694828	0.301462480601256	0.0953955257207641	0.133481038021011	0.219477486525642	0.230699118661248	0.389724032783792	0.238250362389556	0.216503220100802	0.120638489806157	-0.00146381724680603	0.0615996620627261	-0.00634032352460614	0.147902707714436	0.182905343760045	0.201850613180883	0.100031792899202	0.287637904712959	0.0744473944625039	0.185479208759805	0.165775605715355	0.135688382392311	0.0911766033928688	0.0308097283536976	-0.271433473224838	-0.229090574291236	-0.0741121041265648	-0.295068589722496	-0.207873568545135	0.011470498509128	-0.235286058947511	-0.240083992055303	-0.27978583168449	-0.426999721695053	-0.424285210588071	-0.305812823453529	-0.316404177187847	-0.213844233024536	-0.340114760215641	-0.279518445858091	-0.0502157978713764	-0.173819114742258	-0.142984521231294	-0.115831557165214	-0.210420181994305	-0.207883634370182	-0.165247573726798	-0.0293498246463906	0.165959286668036	0.271425168069782	-0.188227226796824	0.0155777734920737	-0.0701580068660251
Chemokine12_score	-0.478985732009926	-0.347161910669975	-0.401442307692308	-0.449829404466501	-0.434630893300248	-0.49806141439206	-0.46223635235732	-0.270704094292804	-0.449053970223325	-0.483948511166253	-0.463321960297767	-0.493408808933002	-0.314748759305211	-0.473402605459057	-0.341268610421836	-0.473867866004963	-0.484103598014888	-0.489221464019851	-0.464717741935484	-0.249922456575682	-0.234879032258065	-0.295673076923077	0.0870812655086849	0.463321960297767	-0.488446029776675	-0.436647022332506	-0.401907568238213	-0.371665632754342	-0.448743796526055	-0.494184243176179	-0.367168114143921	-0.300325682382134	-0.460375310173697	-0.483638337468983	-0.48208746898263	-0.455102357320099	-0.310096153846154	-0.405009305210918	-0.454792183622829	0.222161910669975	0.298309553349876	0.473247518610422	0.384072580645161	0.1725341191067	0.483948511166253	0.310096153846154	0.143843052109181	0.0780862282878412	-0.370890198511166	-0.20897952853598	-0.394463399503722	0.494184243176179	0.489841811414392	-0.385623449131514	-0.483483250620347	-0.487515508684864	0.166485732009926	-0.404544044665012	-0.479295905707196	-0.418967121588089	-0.407025434243176	0.00426488833746897	-0.418501861042184	-0.474022952853598	-0.302962158808933	-0.19889888337469	-0.481312034739454	0.45215570719603	-0.286212779156328	0.470145781637717	0.381125930521092	0.408576302729529	0.478675558312655	-0.0875465260545906	0.0199286600496278	-0.00690136476426799	0.00845223325062035	-0.141826923076923	-0.297068858560794	-0.309475806451613	0.47883064516129	0.499767369727047	-0.494339330024814	-0.491702853598015	-0.463942307692308	-0.00364454094292802	-0.216733870967742	0.497906327543424	-0.00147332506203471	-0.273185483870968	-0.472161910669975	-0.464717741935484	-0.143532878411911	-0.318625930521092	-0.496045285359802	-0.463632133995037	-0.462391439205955	-0.490307071960298	-0.494649503722084	-0.489376550868486	-0.466733870967742	-0.459599875930521	-0.454016749379653	-0.420207816377171	-0.490462158808933	-0.436181761786601	-0.303272332506203	-0.490151985111663	-0.489221464019851	-0.487360421836228	-0.47231699751861	-0.374147022332506	-0.465027915632754	-0.41927729528536	-0.493098635235732	-0.420828163771712	-0.487670595533499	-0.442230148883375	-0.434941066997519	-0.425015508684864	-0.44889888337469	-0.188197890818859	-0.391671836228288	-0.467044044665012
NHI_5gene_score	0.0673926012139347	-0.183071899522646	-0.0232417356165811	0.0364896521269483	-0.027071863154256	-0.427645219638758	-0.260469436006065	-0.226660805445423	-0.173037831674082	-0.201626400650264	-0.26468321298138	0.05180145256526	-0.0960234039257045	0.278242518979864	0.282514663135565	0.13729314675299	-0.0641287607674579	0.106488924049221	-0.103031328424572	-0.166336330090313	0.0616463959037064	-0.00554355597815378	0.205252646823327	0.367505828729909	-0.0134172883546599	-0.0917802683242707	0.0298965047549398	-0.0278136087218532	0.117341414808375	0.0447017374646145	0.293416354373454	0.0198367187736709	-0.0363020157634971	-0.404807433030775	-0.190250248707714	-0.0986642057889393	-0.248712299853957	0.124290255815956	-0.0678886606898067	0.0108064417914689	-0.365999455150909	-0.347208556722537	-0.0432345267435461	0.0441882433750339	-0.393126970045591	-0.0129698062803111	0.296434375692806	0.336984937613016	0.314794544754028	0.298743196616859	0.33835078040414	0.27878815474738	0.2916961594926	0.199696743229535	0.248263048670238	0.237172672831855	0.284713099732188	0.350375537333743	0.263836841042398	0.197688896354602	0.316780576449976	0.124054203674174	0.139811653347769	0.273699334189535	0.00733178778828799	0.302074726538631	0.219492858011791	0.322627200901065	0.315542478551561	0.273331241152626	0.200145303375703	0.369148264356219	0.194337288349178	-0.335596378099322	-0.17790473060048	0.208249515498709	0.15515010888203	0.19003018247616	-0.0511458077784026	0.204033815969657	0.0172536316698265	-0.116478591447081	-0.4377207141012	-0.188116320558849	-0.316480477062844	-0.168873687496507	-0.44404940532859	-0.00486774291604168	-0.0438107537254117	-0.0638901339011431	0.141605036904263	0.0756366954167186	-0.0580991502279317	0.0874076428684669	0.159360525728383	-0.0821769322946574	0.357796509037448	0.256635080360978	0.174497178724322	0.150381667442535	0.241836854600159	-0.265030295952792	-0.11573608689318	-0.34025744367354	-0.238276173741346	-0.231542561064145	-0.207078772608655	-0.0628037254889076	-0.408107309299857	-0.361721378794235	-0.287541186090566	-0.444111578680932	-0.234521731391585	-0.304230378484669	-0.177118953676435	-0.239947049374553	-0.144668774605039	-0.41904857525946	-0.304488292127835	-0.0986516929194351	-0.369479698788462	0.0377117582063739	-0.129824163796968	-0.129559516053378
CD8A	-0.457118486352357	-0.115927419354839	0.476814516129032	0.0897177419354839	-0.208514267990074	-0.492013027295285	-0.423309553349876	-0.102745037220844	-0.338632133995037	-0.381281017369727	-0.396324441687345	-0.0619571960297767	-0.485809553349876	-0.444711538461539	0.454171836228288	0.464252481389578	0.388415012406948	-0.339097394540943	-0.499457196029777	-0.0205490074441687	-0.483483250620347	0.318160669975186	-0.496665632754342	-0.342199131513648	-0.493098635235732	-0.465338089330025	-0.309785980148883	0.0428815136476427	0.40593982630273	-0.49154776674938	-0.499457196029777	-0.375697890818859	-0.429978287841191	-0.364686724565757	-0.37957506203474	-0.109258684863524	-0.22883064516129	-0.219525434243176	0.170362903225806	0.177186724565757	0.404699131513648	-0.136864143920596	0.221851736972705	-0.467509305210918	0.128024193548387	-0.478985732009926	0.481156947890819	0.500542803970223	0.215338089330025	0.499767369727047	0.382211538461538	0.474178039702233	0.351969602977667	-0.440989454094293	0.0810328784119106	0.476039081885856	0.492788461538462	-0.161522952853598	0.415400124069479	0.404233870967742	-0.493098635235732	-0.0949906947890819	0.48534429280397	0.264345533498759	0.27442617866005	-0.0766904466501241	-0.242788461538462	-0.0269075682382134	0.500077543424318	0.456808312655087	0.416175558312655	0.499612282878412	-0.411367866004963	0.376473325062035	0.377093672456576	0.401442307692308	0.447192928039702	0.493408808933002	0.482242555831266	0.451225186104218	0.0444323821339951	-0.465803349875931	-0.495735111662531	-0.468905086848635	-0.449674317617866	-0.165089950372208	-0.107242555831266	-0.0649038461538461	-0.158576302729529	-0.250232630272953	0.0777760545905708	0.432769851116625	0.452776054590571	0.235964640198511	-0.445486972704715	-0.085220223325062	-0.187422456575682	-0.114376550868486	-0.495580024813896	-0.190369106699752	-0.26822270471464	-0.262949751861042	-0.410282258064516	-0.42935794044665	-0.492633374689826	-0.498836848635236	-0.395238833746898	-0.465338089330025	-0.437267369727047	-0.397720223325062	-0.479140818858561	-0.491082506203474	-0.420052729528536	-0.453551488833747	0.205102357320099	-0.134848014888337	0.0796370967741935	0.0489299007444168	0.407955955334988	-0.125542803970223	-0.0920440446650124	-0.499302109181141	0.330567617866005	-0.0445874689826303
CD8_CD68_ratio	-0.457118486352357	-0.115927419354839	0.476814516129032	0.0897177419354839	-0.208514267990074	-0.492013027295285	-0.423309553349876	-0.102745037220844	-0.338632133995037	-0.381281017369727	-0.396324441687345	-0.0619571960297767	-0.485809553349876	-0.444711538461539	0.454171836228288	0.464252481389578	0.388415012406948	-0.339097394540943	-0.499457196029777	-0.0205490074441687	-0.483483250620347	0.318160669975186	-0.496665632754342	-0.342199131513648	-0.493098635235732	-0.465338089330025	-0.309785980148883	0.0428815136476427	0.40593982630273	-0.49154776674938	-0.499457196029777	-0.375697890818859	-0.429978287841191	-0.364686724565757	-0.37957506203474	-0.109258684863524	-0.22883064516129	-0.219525434243176	0.170362903225806	0.177186724565757	0.404699131513648	-0.136864143920596	0.221851736972705	-0.467509305210918	0.128024193548387	-0.478985732009926	0.481156947890819	0.500542803970223	0.215338089330025	0.499767369727047	0.382211538461538	0.474178039702233	0.351969602977667	-0.440989454094293	0.0810328784119106	0.476039081885856	0.492788461538462	-0.161522952853598	0.415400124069479	0.404233870967742	-0.493098635235732	-0.0949906947890819	0.48534429280397	0.264345533498759	0.27442617866005	-0.0766904466501241	-0.242788461538462	-0.0269075682382134	0.500077543424318	0.456808312655087	0.416175558312655	0.499612282878412	-0.411367866004963	0.376473325062035	0.377093672456576	0.401442307692308	0.447192928039702	0.493408808933002	0.482242555831266	0.451225186104218	0.0444323821339951	-0.465803349875931	-0.495735111662531	-0.468905086848635	-0.449674317617866	-0.165089950372208	-0.107242555831266	-0.0649038461538461	-0.158576302729529	-0.250232630272953	0.0777760545905708	0.432769851116625	0.452776054590571	0.235964640198511	-0.445486972704715	-0.085220223325062	-0.187422456575682	-0.114376550868486	-0.495580024813896	-0.190369106699752	-0.26822270471464	-0.262949751861042	-0.410282258064516	-0.42935794044665	-0.492633374689826	-0.498836848635236	-0.395238833746898	-0.465338089330025	-0.437267369727047	-0.397720223325062	-0.479140818858561	-0.491082506203474	-0.420052729528536	-0.453551488833747	0.205102357320099	-0.134848014888337	0.0796370967741935	0.0489299007444168	0.407955955334988	-0.125542803970223	-0.0920440446650124	-0.499302109181141	0.330567617866005	-0.0445874689826303
Bcell_mg_IGJ	-0.162945443664468	0.223883034884464	0.183634264359272	-0.189085368217647	0.240333451338094	-0.0941869128001602	-0.261611388808306	-0.102403182619505	-0.317322019576346	0.1245432623172	-0.364957123577317	0.0255755564929714	0.132624557265614	-0.257120853141869	-0.366042245031067	-0.167748025175676	-0.171259142404782	-0.00899429840113096	-0.381001566682806	-0.383210144505065	-0.281018063174222	-0.191409630410561	-0.205761190546733	0.151930189852249	-0.365148929662257	-0.288189699464081	-0.302303795736714	-0.233962352017835	-0.278081491989635	0.222212648116893	-0.214498408963797	0.00743528266026781	0.145499862953919	0.402327822546453	0.417825862852627	0.234055647112645	0.185743987612444	0.455785783950844	0.278587943317864	0.323745779344576	0.367675153435683	0.345050650306134	0.400019463441181	-0.308337709705285	0.0646317876173669	0.172825396430995	-0.258971962326074	-0.313442062518213	0.0609682009055661	0.112264133437337	-0.438374423261346	-0.423384841195237	-0.0448632490850789	0.0291677417481352	-0.169732286884316	-0.101653710831621	-0.0379532723286572	0.271484862714415	0.0595326996338247	0.156835124940317	0.0258380445177841	-0.389448377521868	-0.002955710012731	-0.324496991984926	-0.321005334395524	-0.258114981360184	-0.3812380103072	0.225900852011565	0.239433698190143	-0.0355232455827659	0.163927027226984	-0.120891205271144	0.336251396424093	-0.0567388176399444	-0.0112820471831092	-0.0311642174320959	0.126349461928648	0.257047509224611	-0.163703795489545	0.0888458437775094	0.0669698280258538	0.148607735843145	0.405769200612297	0.0481056718561148	0.282666374335027	0.336724924595748	0.416282707794296	0.0604961477846341	0.414108436940487	0.21430828203891	-0.0288848208078322	-0.0929362536927399	0.0321195393798034	0.124031517119437	0.231553705346192	-0.451931914944615	-0.274069224308004	-0.208830914105803	-0.140943334516773	-0.279863115587474	-0.237818541442062	-0.214471414418166	-0.269352247865687	-0.364224385733335	-0.39748631311617	-0.444444235923655	-0.403594346848597	-0.243348160633888	-0.151098425935496	-0.218779639369477	-0.189903962062981	-0.192642458772191	-0.120894179764847	-0.283624362409932	-0.229047321614304	-0.162256090091255	-0.421852855956993	-0.103544940297545	-0.330813682489299	0.0846400391077206	-0.0250968585592892	-0.237259557070657	-0.243813123633085	0.087804200761657
Bcell_receptors_score	-0.0338973889874568	-0.0710945319719094	-0.342774820131585	-0.251214094454753	0.0502990237267893	0.00257877131516491	-0.122282029690264	-0.404374652887367	0.111611669052316	-0.299427748697052	-0.270387316378245	-0.29037399382226	-0.439117167992289	-0.415536334915374	-0.289414914242859	-0.424347338850483	-0.436388402576749	-0.467507147162956	-0.312670944628674	-0.219986516033272	-0.0714932399482055	-0.134985446462607	-0.365977445357665	0.0791333467143537	-0.472777523117467	-0.0932128880070857	-0.374203177697442	-0.171543541637337	-0.331562735854711	-0.386774473493613	-0.356395136188594	-0.0772362552635814	-0.170003777571956	-0.130668898800414	-0.379791547687455	-0.00527647693619619	0.0643282525899704	-0.0469783557513285	0.0835647633766557	0.157664652317272	0.422445229115433	0.29918253236701	0.316588682301379	0.274158855508271	0.209289874786105	0.0786923667712661	0.441676402742037	0.489154454919682	0.374553488878804	0.489395603918141	0.048602840777589	0.00110896400908562	0.212623766294832	0.287800880291797	-0.351372138626219	-0.104923439181057	0.39793763779528	0.0971389537118588	0.191427710574549	0.00232464558733858	0.405152155007211	0.308352557853581	0.368638985335019	0.172454007187239	0.0219760919844259	0.095154461404368	-0.157614190758735	0.463132944786412	0.450892968253005	0.371095241769059	0.43030300853645	0.471107007121028	0.471734162473955	-0.313613288544396	-0.0113480960508539	0.223086763620276	0.253031808809636	0.130015769841271	0.103650923535881	0.182490768780383	-0.162947114393937	-0.163305568040712	-0.383389156759306	-0.455707896792642	-0.189330707704975	0.0258134276156967	0.106456735500711	0.374065580047856	0.243239142118692	0.211796881598365	0.344832074434155	0.280281564083253	-0.0276416337215108	-0.00117556528642726	-0.114519139871448	-0.430008691420122	-0.411949006310929	-0.102816132383106	-0.425810771513904	-0.455104349482593	-0.369341826121884	0.148051280374153	-0.362924329798055	-0.422895147342877	-0.481300521325625	-0.215573691056253	-0.435324847438821	-0.312521889194902	-0.367137012770752	-0.406872150974491	-0.369088977539093	-0.436657794415039	-0.0891607640400561	-0.214545167844444	-0.1688358953797	-0.3868398396491	-0.435734690374866	-0.378881500796531	-0.36173193521955	-0.336280383950246	-0.441384848183133	0.189176130345389	0.0609486353701356	0.142518141460881
