77T	78T	111T	19T	38T	81T	11T	93T	56T	96T	25T	27T	68T	79T	20T	108T	114T	66T	86T	101T	102T	103T	14T	39T	113T	115T	73T	99T	6T	10T	5T	9T	71T	85T	65T	88T	24T	97T	12T	32T	29T	110T	13T	54T	7T	1T	107T	122T	48T	49T	41T	52T	34T	47T	28T	83T	90T	2T	51T	58T	82T	106T	45T	30T	16T	92T	124T	40T	117T	75T	31T	17T	36T	112T	119T	87T	105T	120T	18T	60T	63T	37T	42T	21T	89T	61T	109T	69T	62T	76T	64T	53T	91T	3T	26T	46T	4T	8T	67T	50T	70T	74T	15T	80T	123T	23T	121T	94T	116T	44T	43T	72T	35T	98T	57T	22T	84T	100T	118T	59T	104T	95T	33T	55T
pDC	0.257579661731472	0.370548576753976	0.129108093708107	0.137183556996318	0.00867581159027614	0.0975364992337031	-0.104580566843882	-0.0244936937327292	-0.0539728364183499	0.163054356055918	0.231644262724	0.116907583888421	0.165899710196005	0.268991249741482	0.0740274626427546	0.31877208590888	0.191397544979489	0.0732217221740491	0.3013093059986	0.132290923425425	0.0757462632603761	0.213359864805169	0.121113355238962	-0.0444074511769449	-0.00345816503952849	0.0223848042314176	0.0489833129617271	0.0867641663066786	0.257411096502652	-0.0130661496486044	-0.0660459210662495	-0.0594154576400235	0.0341153311355813	0.292834072289524	0.00405412230118415	0.0990491944041648	0.137507865218292	0.105204804519828	0.082305230353072	0.248573530207675	-0.143097386156473	0.287581306601956	0.04964784276556	0.0913625061662982	0.0178876554092769	0.351908547838258	0.112703577732961	0.344147008508805	0.176704153846514	0.15001296616714	0.0937365834987734	-0.00297750926411399	0.234395547043368	0.0955114667462929	0.292771459276742	0.321410479613095	0.0442997102147496	-0.0397030151484353	-0.00797200611591389	0.128467709516591	0.0264817998534441	0.0851365610395814	0.0645621933945512	0.101788646480285	0.139239619846231	0.0744171265498171	0.0135763166068739	0.0606489403787136	-0.0910300110037962	0.0105161653336053	-0.031866961641903	-0.139347175686264	0.0617509454315405	0.059041306410186	0.102955735679752	0.136775669671363	0.148472484283881	0.148011814172605	-0.0386117716587489	0.169088120828433	-0.0173381482263334	-0.161982396292483	0.0152052400772751	-0.0445402267026514	0.0458568561979988	0.143373247183941	0.0912108053034701	0.00663440273457456	-0.0757662440652422	-0.263989715255104	-0.00225666473358853	-0.138640318074005	-0.103828710302743	0.00320730441234745	-0.099358758495131	0.0561979256570537	0.198261518730992	-0.0678323560791815	-0.0312490587361186	-0.208846324226571	-0.0900924509772476	0.0204127953466465	0.0516590525553835	0.220276083859004	0.167466182672578	0.089972466751532	0.260352879820152	0.0929652844900132	0.0873760948937863	0.0932904994028486	0.0318390102297656	0.160374205942517	0.0711375523197945	0.173010470877934	-0.28003085061354	0.0487445172667049	0.135161874819628	0.155815624744058	0.0961051213696088	-0.0910276241690392	0.138755192249708	0.0955153139818528	0.128688049320494	0.080070972128194
Macrophages M1	0.0426647579242801	0.116390327535724	0.15265182035202	0.201089406176768	0.116165734710107	0.117099855052374	0.102423105735228	0.123674656989941	0.115572680386744	0.132229859945322	0.0842107751349351	0.0923290524210644	0.139978499923548	0.156266338555907	0.0835947178943081	0.0709370846801717	0.0618300018505049	0.101864168246663	0.0906551782500659	0.0701968848876569	0.126769306566748	0.147175822743367	0.0736229909939624	0.0768306452946703	0.0509486251332981	0.0763149358972284	0.0248216073019045	0.0903305352088404	0.123446814243504	0.0228713680019335	0.037989561071869	0.0520244901262981	0.066470759170073	0.0479427741430205	0.0673716742597066	0.0166035260715876	0.0852461976648976	0.156526005443953	0.130972195404293	0.050132761585356	0.193930016656736	0.203406902761614	0.186156303698299	0.0914192342183334	0.0921151043910977	0.0942541303477558	0.1328262519625	0.0857178115250564	0.0755432236285247	0.0434476594099571	0.0258200736057795	0.10947570076358	0.0521753510325191	-0.0159606994853763	0.101131694682722	0.123898219809266	0.117510659039078	0.0736114282305214	0.134661952762618	0.0991664721507351	-0.00318168613633128	0.0657133452515019	0.0365214037738962	0.132323929941521	0.0717490661881838	0.102665227405691	0.067768132933361	-0.00151913825614108	0.0642813074745479	0.0383976254819471	0.100400024323769	0.123363424706745	0.0713518904225265	0.0967080834685558	0.112962307957185	0.105783476892923	0.0966966743777872	0.0728597277458631	0.128768405639973	0.120648331994524	-0.0469896406554762	-0.00628559558947994	-0.021933436527562	-0.0222559768638459	-0.072530009522929	0.00590703688500854	-0.0236359577283764	0.0229911035455572	-0.0290071854904494	-0.0170508320574958	0.0614383474758831	0.0108019887822847	0.0603728855292656	0.0223757377207872	-0.0228883479249932	-0.0712680648443207	7.47007613341687e-06	-0.0332183747580883	0.043179913499716	0.0387116793560615	-0.00920945903895012	0.0142763801277774	0.0253448638110385	-0.00585172956833044	0.0696630474356515	0.0169205405644916	0.11942138234781	0.117295356657879	0.0529878501731589	0.0163063087844886	0.0250691489601062	0.0337882158934515	0.101087788409458	0.115797882188474	0.0628571013085298	0.0173537652998112	0.0831140123908391	0.105373182930785	0.0747684650054657	0.0528775915345912	0.124868631178401	0.0636324518858459	0.00455798815478277	0.0491237299363519
Tregs	0.162971068065456	0.0895677882708568	0.208212905195648	0.064707066875567	0.13301724160058	0.200200639605458	0.0823598527548609	0.0897567077521358	0.132734799969394	0.090815369642361	0.100972453529195	0.129671680700628	0.0533631692846441	0.139587350527234	-0.0195796201293691	-0.0886983349213798	0.0245174218864803	0.0404342512192542	0.0940566344607475	0.0120786705119363	0.0164818655741456	0.0928129754809387	-0.128411011688019	0.0644312278628981	0.0108711643200782	-0.0582676625629647	0.0740533692490975	0.0494936113937413	-0.0200843555347243	0.0219073077819972	-0.0787932862267229	-0.0394374270555549	-0.0494255163965132	0.0978188668269908	0.186103309822705	0.0137354292780891	0.109286362934756	0.0243197008620139	0.0416246691679563	0.0348583140692446	0.11755826101224	-0.00595268955003209	-0.123425779988558	-0.184459032032153	-0.077658858650022	-0.0443664128995158	-0.0439805546592414	0.0983197866163025	-0.0257755826557164	-0.0616933101034717	-0.00384161825817871	-0.00938424941916167	0.093758541673689	-0.0390509290990933	0.0914271108731914	0.0454313354655633	-0.0209614861965274	-0.0125992205017084	-0.132014249711023	0.0540896392876852	-0.000608766187530718	-0.089069145381484	-0.125793377429309	0.0250719561649166	0.114122862991903	0.119157873313166	0.228660246129702	0.0576149863060456	0.184431654040295	0.238640239046656	-0.159777369342273	-0.00811213078905232	-0.0362653535921895	0.0153282328512055	0.0689608247636341	0.126849878040423	0.124846903327794	0.226763677739308	-0.139339577644618	0.0387636308821501	0.173683715533258	-0.0263310552716268	0.126619382592093	0.0899210675577235	0.127492706192232	0.161778259388656	0.224114617450228	0.233792879846297	-0.00967870588175198	0.151982568691136	0.00550161640987535	-0.0921309485024582	0.0806555330942191	0.0277399535193844	-0.00851811772303451	-0.0569449944953234	0.0960258675536125	0.0566435565711791	0.120592047430689	-0.0424078662717434	0.173425727331782	0.0867273248853367	0.0844746608140339	0.202852437237778	0.116059312277075	0.211223785954511	0.132804390345742	0.172436923193463	-2.6045680306556e-05	0.0635153602299529	-0.00373408554378992	0.105797433815229	-0.0258356492240435	0.042927658915062	0.0795069791676738	0.0661330125757695	0.0611388223978696	0.143404427175043	0.0523018122411398	-0.0824930083793187	0.248384400921704	0.0346858331885682	0.160771015381223	0.0858868347863832
Smooth muscle	0.0941897380576296	0.143461997158104	0.145645562026643	0.0956050023951621	0.0865080856066649	0.130068112349541	0.145595565319707	0.101995815058009	0.0844523402525592	0.0635374668784576	0.0030386855031925	0.00412361463603485	0.054970002872932	0.013390071301874	-0.0266875712931319	0.0420393026987955	-0.0203750378919472	0.0511857153950375	0.0338484467143977	0.0568319002399869	0.0485041779154532	0.0540297780886273	0.0299131169611744	0.00947354854809823	0.0493521573561037	0.0404841079523856	0.0216911014612234	0.0265830039092061	0.0558133859529056	0.0902627048615557	0.0543451797677072	0.0807975039196848	0.0643818571885289	0.0705067744503611	0.0969711621533294	0.0532091179633785	0.0345972079083324	0.0611941877392496	0.036514171255408	-0.0209322299923585	0.0524360650868315	0.0207792301116479	0.0675050212020292	0.0238148501610059	0.0122819850047514	0.011340964088771	0.00669397184926219	0.00557409420132854	0.0408897067983541	0.0139039925803659	-0.00713510369398903	0.00963897278986379	0.00365295086078597	0.0472847121188286	0.0780720367709953	0.0995739750767071	0.103357834971226	0.12294243758005	0.0809337634534021	0.100467494945132	0.0387854752914695	0.0169399040024867	-0.00784168883958044	0.0473853894329881	0.0486753193427251	0.0325957085515882	0.0217489790304883	0.01109069161152	0.106964759567285	0.0310515025171916	0.0515414831466311	0.052318021673536	0.0195319053604414	0.0900070804551335	0.0565283127428866	0.0615876507353001	0.0690879507340674	0.0783137272667044	0.115810581935842	0.172877582812457	0.0392953549191088	0.0349423514833642	-0.0105007646567083	0.0213141896423109	0.041083608496733	0.0247596064476211	0.0373407657772731	0.0349227150401541	0.0891393644320834	0.0377586064884288	0.0554795393039638	0.0100844598661503	0.0411139374565129	0.0517328713907559	0.0401422557306494	0.000454721500447929	0.0236616688701042	-0.00662919711656032	0.075076129055999	0.0124646286493723	-0.00446560036940638	0.00689923058174138	0.0814394787103278	0.109923028357459	0.119280768270967	0.102744212580428	0.0878089825215199	0.0941582863149562	0.0663968648956526	0.01563982397911	-0.0138250793496075	0.0352740997011678	0.0932685806577122	0.0795620592967854	0.0717292799159711	0.0502488649060682	0.0277228362500572	0.0670133885430649	0.0369846042992768	0.0564890209663039	0.0972664681474724	0.088754823810618	0.0208268196615332	-0.0181381168646379
Tgd cells	-0.00150055644736167	-0.00298663420067633	0.0658718881031843	0.0645243172963942	0.0323016936538325	0.0762210130865097	-0.0192962953924716	0.00634759539121318	-0.0469611990536304	0.0122508444608087	0.135720727630655	0.146075023202246	0.200245045777163	0.215549438929626	0.218723281799528	0.121349797307988	0.182034958020931	0.152854620665607	0.136268382660529	0.150457672420861	0.148903888693501	0.140182447112924	0.170200302004423	0.168387254943588	0.134233624314641	0.108960810773507	0.111214705557825	0.139211438486458	0.158162426259011	0.0758956476852604	0.148112675190776	0.141267499951162	0.100415488175204	0.116680413120478	0.133295587849585	0.166237434380798	0.0320166850112716	0.0559502017583563	0.0329738589877658	0.00573474432324873	0.112463113521927	0.165014588963308	0.144366031207187	0.124570153059784	0.177723674615369	0.0449282149423197	0.130618698146742	0.119275807671098	0.121683634207832	0.139930201690089	0.101453592697596	0.120490206743518	0.0448390164030357	-0.00515619957536909	0.0916998658307385	0.0679668654194584	0.00319314667171814	0.0946006331713441	0.0182599129595187	0.0251319915721058	0.00998505427966948	0.130617813290077	0.0932921114211157	0.0703146277998344	0.0690115218241257	0.0536158356401843	0.0687522954776115	0.0739967834319496	0.13514444860078	0.1844165702593	0.08153868711053	0.0808596455358612	0.115772300988378	0.133668919542332	0.0700591813976166	0.0905279147942603	0.164454766138077	0.123676939247397	0.0932671408497302	0.159027081350133	0.138836811272368	0.134300438849718	0.116826330135138	0.144119027802645	0.15318035287527	0.19744803197699	0.179781700232807	0.171186370979531	0.156493973027426	0.131424361022791	0.146512248328397	0.0969032210359364	0.118138369673819	0.158678349245578	0.156972630492753	0.182110687933748	0.184736774344298	0.115457792241125	0.21175001727127	0.18932399245971	0.116598547800261	0.135993708423043	-0.0969913595196587	0.0485844770757874	-0.0402079883069277	-0.0271517984708504	0.0170380333259852	-0.0312934986490943	0.0825653392305125	0.0302645297979723	0.0480882528762962	0.0869000674246315	0.0263707697992502	0.0570662429452513	-0.0217953920550247	0.0386438643746656	0.0882304821965466	0.0878621421233885	0.0663734598200045	0.0775992430602252	0.139588413475042	0.121621670033512	0.04574293516905	0.0259609724766879
CD4+ naive T-cells	-0.0310037788386895	-0.0257725288120108	0.0371240618282102	0.0655319709613199	0.0165386087840642	0.0065462286616505	-0.0220207804425483	0.0213032952941442	-0.0212097114542043	0.00625630970426149	0.138253978709297	0.111984013907116	0.0189991910083007	0.15156495690687	0.138469010955709	0.120988545321655	0.164047547777914	0.0827424622092291	0.103300963830628	0.0991336254707847	0.0777485641083251	0.0598985527846043	0.0996093292639334	0.121625551296463	0.119177519316437	0.110514501860766	0.114697424502244	0.0737156728367464	0.122818064374157	0.103501026063776	0.108455944718863	0.116597907230546	0.0703427500237197	0.0348739248319746	0.0885891827357254	0.0622264004122414	0.093224064579093	0.0483583515543398	0.0834115652027137	0.103580734919494	0.096458616412588	0.0862332416177045	0.0270025255873219	0.138047363431073	0.126780066953655	0.101170395268717	0.111869866487025	0.104783785435166	0.123954066463574	0.118837654167192	0.0918258277668586	0.102083827597164	0.0381655076790495	0.0428642937261546	0.103434728212591	0.0772275405066349	0.0570332711854101	0.0328138024749262	0.0710229386698388	0.0189563017556683	0.064561666119297	0.045880932978809	0.0951222164662366	0.0505316868692835	0.072784200507759	0.0920676467001989	0.0274540238037796	0.0885650536248808	0.0821909115606704	0.0476608859026927	0.0685245320846311	0.0548916771068916	0.0626878107152764	0.115805196467178	0.0399872599384289	0.101437740280801	0.0904351126355046	0.0589963145782775	0.123790743421613	0.0960842967512623	0.148845388089833	0.0823533265318446	0.0823580542719381	0.111071412755477	0.104865404289659	0.187249517382541	0.0736108221784012	0.100015621166458	0.103446029623009	0.0778408435623812	0.0772810187094934	0.0720328407389367	0.0941723049432443	0.147666328239085	0.101179329541466	0.156280022491876	0.125046543322265	0.153070204674618	0.102997420933849	0.139114731533712	0.137789782146594	0.150716509397454	-0.0249669481319611	0.0299852911755113	-0.00828354106670313	-0.0116103033318826	0.0136225964200278	0.0339807191631647	0.0384582648664378	0.0735961682288609	0.0596647480487286	0.0765151911412695	0.0886671787586117	0.0389673783187838	0.0218800863479524	0.013815513715403	0.0229782091195366	0.0499756131419202	-0.000814885932992001	0.0429304880377915	0.0513280772953655	0.0114661582985768	0.0488806380298603	0.119360751291569
CD8+ Tem	0.0518342737599728	0.0681211303586022	0.0785302327975816	0.066861765805499	0.0472513262226081	0.0958901975339058	0.0391923499961793	0.0466897558805395	0.0575236874486963	0.0668761141751662	0.109577584905227	0.13533348247066	0.136391623876939	0.161832087642616	0.144665620191361	0.0925529928934295	0.142557863682809	0.0763918341502654	0.0902555819155629	0.0773374325957264	0.0540813776834485	0.0388614932498159	0.123935962490534	0.107678398303019	0.065799503672713	0.0930157290180453	0.110607906875162	0.07904102120752	0.108469939839874	0.080898387278917	0.0801297717718654	0.0652221829176629	0.0352182504106106	0.0475615998283638	0.0410189426653449	0.0601821262405038	0.0878005872678009	0.0632206325644658	0.0786558332525002	0.100044509918381	0.0931147309885947	0.131037334271171	0.0812001723928833	0.092076417015944	0.102116262619033	0.0919995549294499	0.102183816684868	0.0917918133433061	0.0872253109817055	0.0495339290201437	0.0785713160275156	0.0781024291918179	0.0709783878134606	0.0303168642239814	0.09755837673455	0.101022705257838	0.0623521886597672	0.042974121595201	0.0621807244839496	0.0616045134830733	0.0528895256383776	0.0513802686894054	0.0372799023186759	0.0520015367534242	0.0854971564874368	0.0730971299107193	0.0735135973509986	0.0583620583665134	0.047844340208699	0.0224017768988348	0.0166640436073818	0.0597301853668182	0.0726149717905133	0.0857746792417193	0.0849165941355563	0.0818532646390291	0.0763476927479124	0.0756561997923751	0.0602419786714925	0.0879916373387332	0.0974132505247004	0.0611124764381466	0.0832259210650954	0.0818703900745083	0.087106595607167	0.0910466461173434	0.0635101300444082	0.0930267012310505	0.0544765999652417	0.0142330448979129	0.0466182757574799	0.0667806974061334	0.0347301746665341	0.0761745276270487	0.0649316864618321	0.0683797777724576	0.0518661326545152	0.0342670451245712	0.0761326400850122	0.0742947538804881	0.105783112386335	0.152798601305188	0.0378862512317416	0.0769205268040385	0.0532633657616774	0.0648441989378505	0.072838551188063	0.0437258964016888	0.0776819513971105	0.0437196983877038	0.0531936684314654	0.133307662966666	0.0905943128728328	0.0668713254315809	0.0450983561736981	0.0788834288853154	-0.00702348330194989	0.0504663530841072	0.0714337963609327	0.0517571824219554	0.045623924516777	0.0324862241126064	0.0640781041323632	0.117889887814606
Sebocytes	-0.48138186379534	-0.554889467229012	-0.364405869024637	-0.410389820280528	-0.270967192238845	-0.0505313741342158	-0.21222749268858	-0.393485049539222	-0.399272570552919	-0.255503828531098	0.00926443755569064	0.138491592029453	-0.425128458588065	-0.305595564787174	-0.265995576650668	-0.194221872459265	-0.364546391559245	-0.00917270904713658	0.118113232025821	0.0315873726700843	0.12605822006904	-0.0624498466212319	-0.248455676979274	-0.241919739512268	0.0336771058474894	-0.0392249249480195	0.0401776601028838	-0.180105252507773	0.193544382109822	0.317826779684427	0.142427714595691	0.114940877540109	0.193265121018718	0.0981033774604707	0.24297930592272	-0.0322807142035877	0.0739629744317371	0.0414146721613659	0.367094089866435	0.120174211663921	-0.516702026649865	-0.432719334947939	-0.282872630849925	-0.461636784422228	-0.467510593578455	-0.339446852922995	-0.23344786979587	-0.419451912936216	-0.202335560843866	-0.263656050635359	-0.207343051513238	-0.294772929403596	-0.386869806196629	-0.416879697312643	-0.445662382893749	-0.448941117845371	-0.394562562062083	-0.0849998939630657	-0.221919389208319	-0.210848635021139	-0.208042030310642	-0.280005942715735	-0.231263907660404	-0.190300205095526	-0.168148226943837	-0.167968784279938	-0.0239465565432679	-0.155733268059169	-0.2428275543101	-0.207532778928484	-0.224567086231017	-0.167992673186193	-0.344021117541336	-0.274805581375379	-0.0410355177351381	-0.089379137105331	-0.292319849602687	-0.247318037046032	-0.20588786820506	-0.300309464063967	-0.34884023784432	-0.36950256804335	-0.473486745915948	-0.367426868449304	-0.393322908237997	-0.490950457591966	-0.397552248024501	-0.415835733557687	-0.391557316308537	-0.191737436009091	0.0445983195904688	-0.383829360383588	-0.208049274827647	-0.259822775870948	-0.202502575261208	-0.207860739725036	-0.217152198454858	-0.26329340046873	-0.188473670468413	-0.24832137428477	-0.128451531883347	-0.106726833254169	0.266224559092738	0.261687143640995	-0.441183436560035	-0.388924726036459	-0.301176759140792	-0.292290040421966	-0.132486953807374	-0.112761041921939	0.00465857794463765	-0.233163498275868	-0.318117121400259	-0.0475227635975937	-0.423743604717593	-0.0797939670533071	-0.345573293904886	-0.332096544108493	-0.413420401746577	-0.127745081809126	-0.288452531563245	-0.343440756745916	-0.38743680709632	-0.356287416724509
Class-switched memory B-cells	0.147725467330343	0.106011317723234	0.0317757337890735	0.14476707053217	-0.0203091430522772	0.166169777320732	0.0509398007911479	0.100084155229459	0.030767017835092	0.0735899008350386	0.0412059881958062	-0.0119886175179135	0.226046724859091	0.264925660134158	0.139285818992405	0.0852563307229762	0.105484094353235	-0.0259499275297724	0.00915685940027574	0.099206317921844	0.11166457341822	0.0654666644433959	0.0458940492280311	0.0141924876463297	-0.0599323909459393	-0.0236687697373851	-0.0133414619008837	0.0123095528156088	0.0102612349310785	0.0319571690683311	0.0541279838709264	-0.0356738253887949	-0.103150040830898	0.0983388535722248	-0.00563010468614002	-0.0645440962412736	0.0269813814918583	-0.0150174561761239	0.101289230798465	0.0636696534235315	-0.00147160949526607	0.19903275054419	0.121721952813426	0.149550289055624	0.100084259036207	0.165255607978982	0.101215048799645	0.0876050937862687	0.0228316630274712	-0.000198648432828883	0.137509420918872	0.0544245409609008	0.0187823470023951	-0.000969809096041751	0.0444382722451991	0.208488552942755	0.0867401785146483	0.0115354691096861	0.0504036202520255	0.0537845831535432	0.0582522966856585	-0.000315741310000208	-0.0713339744792541	0.0575407881297696	0.0602724880682036	0.157200487681137	-0.081384418573216	0.141643186750212	0.153636818191608	0.143776012255027	-0.00916349871460326	0.0846203740467757	0.0101802066389476	-0.0353343999804613	0.0025559790499316	-0.00693322343504188	0.011061187355728	0.0175266538665501	0.11766111027248	0.107017231751205	0.0394100290837588	0.0918333343985447	0.130197244317946	0.0971148939461084	-0.0193068598383326	0.0823626311812061	0.112124944735354	0.0812921566042236	-0.0114753702000744	-0.0269086527935995	0.000139442518698335	-0.0165850535889343	0.158920083005332	0.0759217684480351	-0.102387607429718	0.0164781635444906	0.0393766218437681	-0.00852299208628583	0.0490809262262276	0.0191218592075893	0.0486442154076951	0.0621634468197109	0.00585516456900284	0.131132610109123	0.00154404926753471	0.0125418109348317	-0.0126849333023335	0.148503718703048	-0.0462536850123219	0.0998765617695567	0.0933436079969347	0.145848746652537	0.0550454875025113	0.00104096624698812	0.0390744630885613	-0.072494057892517	-0.00101744711413714	0.159766344600543	-0.0194600696559701	-0.0769292676138143	0.0177973662463486	0.00121008982568352	-0.00907972406152577	0.124358658865068
CD8+ Tcm	0.0351167417696884	0.0958742272683656	0.0409428851732823	0.116952777256441	0.104779340420088	0.145159734842441	0.0535807256412943	0.00680157941184171	0.0629908072147037	0.0920075636689724	0.0622889956436411	0.172641442798557	0.227920550120448	0.252437458713994	0.219464718163824	0.174368120272593	0.152547376758159	0.0503649584385148	0.152387156441825	0.0690615865107823	0.0682171799463246	0.0463340586656017	0.130498274382692	0.126512949775809	0.0190774271593331	0.0318415914201516	0.074569980506672	0.00862480619808645	0.00746526094956547	-0.0664521218049875	-0.0118351281241174	0.00105337204184619	-0.0669451234041239	0.0201737607356165	0.0190444260831499	-0.0276776120309505	0.0010505059378698	-0.00523941284112256	0.183279460053739	0.185671726457712	0.0778415260682002	0.228310683872272	0.150501705721703	0.170364808593693	0.0968090297868559	0.122379268884841	0.164192284257975	0.0857836413732207	0.13377817144856	0.101384858061636	0.155659857299675	0.0611493956982287	0.102156747248577	0.0909361668647297	0.14926612341703	0.171134071869037	0.0412624466000006	-0.0673277695602615	0.116837674763526	0.0265848901187637	0.159482883388464	0.0949751035442424	0.0617746113832614	0.0625155523847622	0.165325722868204	0.10971705044105	0.0258128966691678	0.0865794250440248	-0.0745533443557724	-0.0390841387886524	0.00880207471042166	-0.0360161458901771	0.139543903533017	0.0803104467314748	0.0719120876171732	0.0600524847054998	0.075406457888102	0.0289902142648403	0.0700044557458866	0.0912020948460871	0.193726114415732	0.106016789937958	0.0831701088668357	-0.00263732749695824	0.0708683132774374	0.126192947843218	0.0106996085228269	0.0196147762246203	0.0390424517884343	0.0303071908843279	0.00882325091772249	0.0612983645858655	0.0244896724706913	0.0288227666700438	0.050145762656434	0.174981759871332	-0.0273802514149222	0.0136912356350756	-0.00574217943678783	0.0165036551150641	0.0282741518424802	0.0649410485680699	0.107872076123922	0.123660219882862	0.026426445104203	0.0171144769424108	0.0531840345911258	0.0246252519415895	0.0523364112074464	0.106431211941956	0.0859490173088372	0.171699544713803	0.126318439985967	0.0204108975973486	-0.0347548225489705	0.0266017742015473	-0.0821029551555653	0.0237182650060483	0.0715067834419114	0.0659856595561835	-0.0186148842352415	0.0152720797309772	0.0132936106973624	0.114458433942569
